travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,Airlines,year,month
Family Leisure,Economy Class,London to Delhi,2024-08-01,1.0,3.0,3.0,1.0,3.0,1.0,0,2.0,"  Travelled from LHR to Delhi in August 2024. Flight tickets were costly, even higher than BA or Virgin's ticket price. Two adults and two children were flying. what we got: An old aircraft with no inflight entertainment system, no charging points, seats wont recline and handles broken. only good thing was that there was a decent leg room space. Staff behaviour was as one would expect in the economy class. when i complained, I was told that a new A350 is being procured. but how does that help me in a really expensive flight on that day where the 9 hour flight seemed to take forever to reach delhi. In this age, asking about WIFI availability felt as if I came from the Moon. The quantity of food has been reduced so much now that I have started carrying my own.",Indigo,2024,8
Solo Leisure,Economy Class,Calgary to Delhi via Vancouver,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," Worst flight. Food was garbage. Totally frustrated, no value for money, deeply regret flying wit them. The reason was because my Air Canada flight to Montreal canceled otherwise I should fly in Qatar Airways. I'm blaming Air Canada first. Never ever go to my destination via Delhi from Canada. I have a dying feeling at the Delhi Airport customer care is -1",Indigo,2024,8
Couple Leisure,Economy Class,Leh to Kolkata ,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   Worst airline available in India, never book with them. They charge handsome amount for select seats and change that in the last minute. No grievance redressal system available. The AI assistant is of no work.",Indigo,2024,8
Business,Economy Class,Narita to Dubai via Delhi,2024-08-01,1.0,5.0,5.0,1.0,1.0,1.0,0,1.0,"  I was flying from Tokyo Narita  to Dubai via Delhi. The checkin lady made a mistake in entering my information that they were not able to let me board even though I could have missed my flight, my bags were re checked that maybe the Red mark was because of that but nothing from my end. The manager had to come and manually fix the error in the system. The plane landed 1 hour 20 minutes earlier than the scheduled time in Delhi but there was no ground staff so all of us were stuck in the plane for 1 hour 20 minutes without an AC. The tv was not working, remote was broken and so were the buttons. The flight was for 8.5 hours and I cannot sleep on the plane. So it was a horrible experience",Indigo,2024,8
Couple Leisure,Economy Class,Hong Kong to Vienna via Delhi,2024-07-01,2.0,2.0,2.0,1.0,2.0,2.0,0,1.0,"   Our bags were delayed by 2+ weeks, leaving us with no belongings for the entire length of our break. Over 10 hours were spent daily on the phone, with €600+ spent on replacement clothes/items. Air India offered only US$100 compensation citing a policy they do not share publicly, despite legal obligations to cover ""reasonable"" costs.",Indigo,2024,7
Family Leisure,Economy Class,London to Sydney via Delhi,2024-07-01,4.0,1.0,1.0,1.0,3.0,1.0,0,1.0,"   Pathetic service. Had taken Air India to fly from Australia to Europe return. Pathetic is actually like giving 5 stars. No words to describe. Entertainment unit not working on all 4 flights taken. Reason technical glitch. Poorest customer service. Staff seems least bothered of any request. Can't provide food requested except apologies. No concern for consumers travelling even when there request assistance button not working not just for our seat but for most of economy but staff seems least concerned. Staff making faces which makes you feel you did a terrible mistake by making a request. Poor air conditioning and sweating while take off , response is once we start flying and reach the altitude AC will be switched on. Never again. I wish it is closed or shut down so that people don't feel cheated at 33000ft.",Indigo,2024,7
Solo Leisure,Economy Class,Delhi to Melbourne/Gold Coast,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   Will never fly with Air India again. Itinerary was New Delhi to Gold Coast, stopping in Melbourne for a transfer. I confirmed multiple times that I did not have to pass through customs in Melbourne to reach the Gold Coast and they assured me this was the case. I would only need to collect my luggage on the GC. What went wrong: - they charge premium prices and not even have working entertainment on board that works. I was on a 12hour flight without a working screen (like most people) - super uncomfortable seats - 2 delays - lost my luggage Conclusion: make yourself a favour and not fly with these guys. So unreliable. They charge premium prices and the service is equal or far lower than budget airlines.",Indigo,2024,7
Family Leisure,Economy Class,Washington to Delhi,2024-07-01,3.0,3.0,2.0,1.0,4.0,2.0,0,2.0,"  If Air India has such lousy in-flight entertainment, usually the entire system doesn't work or, when it does it, offers little in terms of options, then they at least need to have phone/tablet charging outlets on long-haul flights so people can keep their devices charged in order to watch content they downloaded beforehand. It's a no-brainer. Get your act together, Air India.",Indigo,2024,7
Solo Leisure,Economy Class,London to Seoul via Delhi,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," I requested to cancel my ticket and had to deal with very irresponsible and bad customer service and lost my money. Though I raised request to cancel my ticket before required time, they made excuses and closed my request without asking me and didn't bother refunding my money",Indigo,2024,5
Solo Leisure,Economy Class,London to Melbourne via Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   The worst flight I have ever been on. I had a 13 hour journey from Delhi to Melbourne. My entertainment screen and my reading light didn’t work, meaning I had to endure 13 hours without any distraction other than the seat in front of me. Around half of the travellers appeared to have the same issue, which resulted in an unpleasant atmosphere on the plane itself. To make matters worse, I submitted an email to Air India ahead of flying regarding a severe allergy I have. At no point did I receive a response and I was later served food with my allergen in. Thankfully I realised and didn’t eat it, but it was crystal clear from the beginning that Air India do not care about the customer experience - despite the fact that I paid four figures for my flights.",Indigo,2024,7
Solo Leisure,Economy Class,Mumbai to Melbourne,2024-07-01,1.0,2.0,1.0,1.0,1.0,1.0,0,1.0,  They give you the torture treatment. The flight was delayed by over 3.5 hours. My entire seat was broken. The entertainment system was not working. I could not even use the PA button to seek help from the air hostess. The toilets were beyond disgusting. I could just about use it once. The interior of the plane is stained. There was no non-veg food and the food was worse than prison food. Airline staff at the airport and on the flight were helpless. My flight was over 11.5 hours.  The customer service is non-responsive and only copy-paste responses to meet their internal TAT. They will force you to use the return ticket and not even refund it. ,Indigo,2024,7
Solo Leisure,Economy Class,Toronto to Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   I had a 13 hrs long flight from Toronto Pearson airport to Delhi but, the flight was very unpleasant and uncomfortable. The screen did not work at all and it got stuck up and didn’t move back on its original position. I with other fellow passengers had to sit idle without any entertainment The staff did not help me despite me telling them about it time and again. A co-passenger ended up helping me to re-adjusting it. Moreover, the meal tray was extremely dirty with tea stains and what not. Despite asking for a wet towel to clean it they handed me a dry tissue paper. Once landed, having a connecting flight to Amritsar, I received my luggage at the end and ended up in a neck to neck situation where i almost missed my flight. Moreover, one of the ground staff ended up taking $50 from me to get my baggage clearance at the end. I ended up at the gate on the last boarding call. I was really disappointed from the entire experience and a bit tensed now as i had already booked a round trip flight. I hope i get some refund out of what i paid to book my seat from Air India.",Indigo,2024,7
Couple Leisure,Economy Class,Sydney to Copenhagen via New Delhi,2024-07-01,2.0,1.0,2.0,1.0,2.0,2.0,0,1.0,"  SYD-DEL-CPH-DEL-SYD: on each of these 4 legs we had no light, no call button, no entertainment and no apology. Leaving Sydney, we waited on the ground for 2 hours as people in hi-viz kept walking on and off the plane wearing worried expressions. The announcement from the flight deck was garbled but we understood the words 'technical issues'. By the time we arrived in New Delhi it was so late there was no slot for landing so we ended up in the cargo area and had to take a bus to the terminal. When we got on the plane in Delhi to return to Sydney we waited 10 minutes after scheduled take-off to receive the first piece of information from the flight deck: 'technical issues ... safety' and we were deplaned. 90 minutes in Delhi airport until a new plane could be organised. Then full security check again. We were compensated with warm water or juice box. But better to be deplaned on the ground than in the air. And, once again, no light, no call button, no entertainment and no apology. Generally the staff were good on the four legs - though conspicuously absent during the shambles of deplaning. Food too was OK, but difficult to muck up a veg curry. Needless to say, we will never fly Air India again. ",Indigo,2024,7
Couple Leisure,Economy Class,Mumbai to Sydney via Delhi,2024-07-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0," By far the worst travel experience I’ve ever had. Hopeless airline, staff are beyond useless and unhelpful. Really incompetent and just pushing responsibility to solve issues on each other without helping any customers. Still in transit, now stuck in Colombo on a different airline, been travelling for 21 hours so far, with a 10 hour flight to Sydney to come. (Delayed again with another airline) Dont waste your time, pay for a better airline",Indigo,2024,7
Solo Leisure,Economy Class,Kathmandu to New York via Delhi ,2024-07-01,1.0,3.0,1.0,1.0,1.0,1.0,0,1.0,"  I had a horrible experience with Air India. I was flying from Kathmandu to the USA, and at the Delhi airport, they charged me for the weight of my duty-free purchases, which was 3 kg. They charged $137 to my credit card. The Air India employees at the Delhi airport provided terrible service.",Indigo,2024,7
Solo Leisure,Economy Class,Lucknow to Delhi,2024-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"  I was traveling from Lucknow to Delhi (Air India), Delhi to Seoul (Air India) and from Seoul to Toronto (Delta airlines). I missed my international flight to Toronto due to delay of Air India. After asking to provide me with a flight the Air India staff rudely told me it's not the airlines fault. Who's fault is this then that I missed my International flight that I paid around 3K CAD for? Not only that I had to book a new flight again that costed me around 3K CAD and because it was last minute booking the airline couldn't offer me vegetarian meal. After emailing and complaining about all this, all I get is a one line apology from Air India. Not acceptable. The Air India staff at Delhi Airport office are extremely rude, disrespectful and unprofessional.  Very unhappy with the service.",Indigo,2024,6
Business,Business Class,Melbourne to New Delhi,2024-03-01,1.0,3.0,3.0,1.0,2.0,1.0,0,1.0,"  I am writing to express my deep disappointment with Air India's handling of our refund for two Business Class tickets that turned into a nightmare on Flight AI 309 from Melbourne to New Delhi on March 23, 2024. The Business Class seats were unable to recline, causing significant discomfort during the flight.  The entertainment systems in our seats were non-functional, depriving us of any in-flight entertainment. These problems caused immense frustration and disappointment. I have attached photos of the broken entertainment unit, the screen didn't function manually as well.",Indigo,2024,3
Family Leisure,Economy Class,Mumbai to Melbourne,2024-06-01,4.0,5.0,5.0,3.0,5.0,4.0,1,9.0, Great staff service and quality food. The check in process was smooth and staff was polite and helpful. It is surely trying to reach high standards as set by many different Airlines.,Indigo,2024,6
Solo Leisure,Economy Class,Delhi to Bangalore,2024-06-01,3.0,5.0,4.0,4.0,1.0,1.0,0,2.0,"  The boarding experience was tiring and cumbersome. Terminal 3 of Delhi airport is huge and each unit is situated in various ends of the terminal. Not sure if it is the system they use or staff having difficulty to use their system, the process of check in baggage is very very slow. I was stuck with a very stern officer who took considerable time checking each and every boarding pass more than the usual time and when I had to go to the cashier she refused to accept and sent me to another end of the terminal for payment. Running about with hand luggage was not fun. The cabin crew were polite and the inflight experience was fine.",Indigo,2024,6
Solo Leisure,Economy Class,Delhi to Toronto,2024-06-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   I had connecting flight from Delhi to London and then London to Delhi. Added an extra checked baggage at the airport and Air India already had told us the fees for $100 cad for the extra bag. However, when I arrived at Delhi Airport, the airport staff told me that the fees is Rs. 22000 meaning $380 cad. I called the airline and they just apologized. I ended up paying more than stated due to lack of information provided by the airline. I have had the worst experience with Air India. When landed initially, they misplaced my checked baggage which I received after 20 days of my arrival in India and then at the time of departure, they lied to us relating to the baggage fees. This is not done. This airline should have honesty and good customer service if they want to survive. Totally messed up airline, never going to travel with them again. Minus zero rating from my side.",Indigo,2024,6
Solo Leisure,Economy Class,Delhi to San Francisco,2024-05-01,2.0,4.0,4.0,1.0,4.0,3.0,0,4.0,"  I boarded DEL-SFO flight at 4am on May 26, 2024. My Seat is 30A. Entertainment System that tucked into the armrest is stuck within the armrest in spite of flight crew trying to get it out of the armrest. The entertainment system in all nearby seats did not work either. Imagine sitting on a 16 hours flight without an entertainment system. The bathrooms are dirty for most of the flight.",Indigo,2024,5
Solo Leisure,Economy Class,Mumbai to New York,2024-05-01,3.0,4.0,3.0,1.0,1.0,1.0,0,1.0,"  Horrible experience during check in at Mumbai Airport on May 03, 2024 for flight AI 119 to New York. Air India crew members are lack of knowledge to process boarding passes for seafarers. Another horrible thing that the manager was confused about required documents, not cooperative at all and was demanding unnecessary documentation like DG shipping B1 visa (such a document does not exist). I was denied to get boarding pass and it took almost 1 hour to convince him that B1/B2 are USA tourists visas and seafarers joining ships required only C1/D visa. Please note as a seafarer I’m flying for almost 20 years and never had such a complication and harassment at check in counter. Kindly arrange training sessions for your crew. Emigration officer was very satisfied with my provided documentation and never asked something horrible like Air India Staff. ",Indigo,2024,5
Solo Leisure,Economy Class,London to Chennai via Mumbai,2024-05-01,1.0,2.0,2.0,1.0,1.0,1.0,0,2.0,"   Pathetic service, never expected this from Air India. International flight from London to Mumbai got delayed, missed my Connecting flight from Mumbai to Chennai. surprise to know that baggages are self transfer no where highlighted in ticket or boarding pass. No proper coordination or guidance, made me to go up and down, no proper directions or information. Pathetic service to international passengers, never experienced this with any other airlines while traveling from London to Chennai. Travel duration from London to Chennai is 13 hours, because of this awful service extended to 19 hours, no compensation or not even lounge is provided to take rest, people with kids and elderly people struggling like anything. Irresponsible management. Never will travel with you again, and will not recommend to any of my acquaintance for international or domestic travel. ",Indigo,2024,5
Couple Leisure,Business Class,Dubai to Sydney via New Delhi,2024-05-01,1.0,4.0,1.0,1.0,1.0,1.0,0,1.0, Every service needs deep review. Seats not reclining even in long haul flights (12 hr flight). Food served in business class do not have items mentioned in flight menu including basic snacks. Food served in business class with cutlery wrapped in plastic bags. Cloth napkin replaced by one single tissue paper. Quality & quantity of food served can not compared even with a road side dabha in India. Toilets lack basic minimum sanitization. Curtains on the asle appear as if they were never cleaned. Inflight entertainment can't be even spoken about. Feel sorry for the on-board crew what they have to go through every day. Sorry state of affairs. Never ever Air India for me.,Indigo,2024,5
Business,Business Class,Toronto to Delhi ,2024-05-01,1.0,1.0,1.0,2.0,1.0,1.0,0,1.0,"   Toronto-Delhi on May 3 2024, Business class. Worst experience ever from the flag carrier airline of India. Business class looks like Premium economy of other airlines. Foot rest was stuck. Separation between 2 adjacent seats was for namesake, never able to put it properly. Once boarded, we were served a vegetarian roll. Said they are having catering issues and only boxed items are available. No notification regarding same was given to us until boarded the flight. Later came food in boxes with Vistara label (a sandwich, Haldiram packet, chocolate, granola bar). Vistara label is indicative that the airline was aware of the issue earlier. Why passengers were not notified either by email/SMS. No beverages were served. Had to ask for a coffee. Also had to ask the hostess to have the cup removed after 45 min. Lacking basic standards of customer service. Towards the end of trip, head of crew came to apologize for the catering issue. Return trip on 5/12 was in Economy class. No blankets were provided at seat. Audio-Visual system never worked. Should say there was food. Agents at gate were literally looting travellers by weighing cabin and personal baggage and charging for items bought from Duty paid stop. They had the most arrogant answers for questions or complaints Anyone travelling is doing it as it may be an emergency trip and cannot find tickets else were. Given a chance please avoid Air India.",Indigo,2024,5
Business,Business Class,Toronto to Delhi,2024-05-01,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,"   Booked in business and such a pathetic service and attitude of the crew. They didn’t have food in business as they had issues with catering and they knew it before they left India. All the business class passengers were handed out a box lunch, which had Vistara label. The Vistara label on the box indicate that they had prior knowledge about the catering issue and contained a soggy veg sandwich a chocolate and cookie for a 15 hr non-stop flight. The crew’s attitude was even embarrassing and no one even bothered to take the coffee cup back and it was done after a request was made and it took them 90 minutes to take the cup. Not sure what the airline is up to and is a shame for star alliance in general. Will never fly again.",Indigo,2024,5
Solo Leisure,Economy Class,New Delhi to Chandigarh,2023-12-01,3.0,2.0,2.0,2.0,1.0,1.0,0,1.0," The Airline was on a downhill spiral since almost 16 years if not more. When the Tata's took over people had high hope for its recovery. However even after 28 months things are as bad if not worse. I avoid flying this airline and rarely do unless I have no better options. It's a big let down for a Tata company. I do not know if there is any other business in this group that is anywhere even close to as bad as Air India is now. I also feel one reason the airline cannot improve is due to the guy at the top Campbell Wilson. This guy has a lot of management experience but most is for a budget airline and he is trying to run it in that manner. Just a recent example is the reduction of baggage allowance for domestic flights to 16 kgs for Economy passengers. This guy says this is in line with the industry trend. Well I don't think so unless he is comparing with the budget airlines. Even Japan Airlines offers 2x 23 kgs on its domestic flights. So what is the difference between AI and the other budget airlines, offering the same 15 kgs. In my recent case they advanced the timing of my flight which did not suit me as it did not give me enough time to connect with my Inbound flight from Tokyo. I called and pleaded that the new timing will not suit me and therefore I wish to cancel. I was told that I can cancel but there will be no refund. I have never had issues with their Star Alliance partner airlines when they change flight timings and I get a full refund in case of cancellation. Not only Star Alliance but numerous airlines with One World and Sky Team offer a full refund if new flight timings do not suit. Obviously this is another similarity with Budget Airlines. I definitely cannot recommend this airline in it's current avatar unless there is a drastic change which I do not see happening any time soon, definitely not under a CEO who is trying to run it as a budget airline. I also understand that the airline is currently at a loss. However with poor management and bad decisions they are losing further loyalty.",Indigo,2023,12
Solo Leisure,Economy Class,Melbourne to Hyderabad via Delhi,2024-05-01,1.0,3.0,1.0,1.0,1.0,2.0,0,1.0,"  My recent experience with Air India on a long-haul flight from Melbourne to Hyderabad was nothing short of a nightmare. From start to finish, the journey was marred by a series of disappointments and discomforts that left me deeply dissatisfied.  The food served was not only of poor quality, but it was also presented in a manner that suggested utter disregard for basic hygiene standards. Packages were not just messy inside but also had spills all over the exterior, making the already unappetizing meals even less appealing. To add insult to injury, the taste was abysmal, and the quality of desserts was subpar, failing to meet even the most basic expectations. Moving on to the condition of the aircraft itself, the state of the toilets was deplorable. Broken toilet doors and malfunctioning facilities resulted in a pervasive stench that permeated the seating area, creating an incredibly unpleasant atmosphere for passengers. It's unacceptable to subject paying customers to such unsanitary conditions. Furthermore, the lack of inflight entertainment for a significant portion of the seats is simply inexcusable in this day and age. With technology readily available, there's no reason why passengers should be deprived of this basic amenity, especially during a lengthy 20-hour flight. Speaking of discomfort, the seating arrangements were far from satisfactory. Uncomfortable seats made the already arduous journey even more taxing, leaving passengers feeling physically strained and restless. And if the in-flight experience wasn't bad enough, the ordeal continued upon arrival at Delhi airport. The mishandling of baggage collection, with staff carelessly pulling out bags from the belt and haphazardly placing them outside, created chaos and confusion among passengers trying to locate their belongings. In conclusion, my experience with Air India was nothing short of a disaster from start to finish. The combination of poor food quality, unsanitary conditions, lack of entertainment, uncomfortable seating, and chaotic baggage handling has left me with a strong resolve never to fly with them again. It's truly disappointing to see such a renowned airline fall so far below acceptable standards, and I urge prospective passengers to think twice before considering Air India for their travels.",Indigo,2024,5
Business,Economy Class,Mumbai to New York via Delhi,2024-05-01,1.0,2.0,3.0,1.0,1.0,1.0,0,1.0,"   This is the worst experience I’ve had flying internationally. On the first leg, the recline was broken. On the second leg, the in-flight entertainment remote was taped to the armrest because it too was broken. There is one little USB to try and charge gadgets not robust enough for my laptop. Oh, and the recline didn’t work either. For fifteen hours. Regardless, the economy seat backs are about 2 inches of hard plastic coated in musty fabric. Zero padding to be found. For fifteen hours. The extra 1” of legroom when compared to US carries doesn’t add much to the experience I’ve got to say. This is the most run-down disgusting cabin and up there with one of the more miserable flying experiences I’ve had. Find another airline. It will be worth it.",Indigo,2024,5
Couple Leisure,Economy Class,San Francisco to New Delhi,2024-04-01,3.0,2.0,2.0,1.0,3.0,1.0,0,1.0,   Non-stop flight to DEL from SFO 15hrs 45 minutes had 3 toilets out of order. In-flight entertainment was broken in 75% or more of the seats. Individual reading lights were also not working. Seat-back trays on which you place food was cracking. My theory is that Indian crew possibly prefers janitors back in India to clean toilets and so possibly locks them as out of order if clogged or dirty. ,Indigo,2024,4
Family Leisure,Premium Economy,New York JFK to Mumbai,2024-05-01,3.0,3.0,3.0,2.0,1.0,3.0,0,2.0," We have booked for Premium Economy class. When we were doing online checkin 48 hrs before the flight, we could not get a reserved seat in Premium Economy. We thought that it may be a system error but when went to the airport counter, Air India personnel said that the flight did not have Premium Economy. Also the attendant was very rude. Even if they knew it a couple of days before, they did not intimated it to us. We are still waiting for the reimbursement of this change from Air India. This is not the customer service we expect.",Indigo,2024,5
Business,Business Class,Delhi to London ,2024-04-01,3.0,4.0,4.0,3.0,1.0,1.0,0,2.0,"  I had a terrible customer service experience with the ground staff. They were very rude and uncooperative, lacking basic manners. It seemed like they didn’t care when I asked for the complaints procedure and policy, as no one was aware of it. After insisting, they provided a complaint book with no explanation of the procedure.",Indigo,2024,4
Family Leisure,Economy Class,Delhi to Washington,2024-04-01,2.0,3.0,3.0,1.0,3.0,2.0,0,2.0,"   I will not fly Air India. Both legs of my flight had no in flight entertainment, so 15 hours each way. My big issue is how they charge for bags being over weight. They generously give free checked bags, but they weighed my carry ons boarding the flight and said I had to pay over 10,000 rupees to board as my bags were over weight. How greedy and petty.",Indigo,2024,4
Solo Leisure,Economy Class,Paris to Delhi,2024-04-01,4.0,4.0,2.0,2.0,4.0,4.0,1,7.0,"  Check in smooth, Staff at CDG airport Paris were cooperative. Boarding smooth and easy Crew. Average, not as pleasing as I would expect from India. Needs to improve to make the travellers feel cared. Meal too hot to my taste.  Desserts were of poor quality. IFE touch screen was not working. No WiFi onboard. Meal didn't fully match the menu provided on Air India mobile app. Smooth Transfer at Delhi",Indigo,2024,4
Family Leisure,Economy Class,Tel Aviv to Bangkok via Delhi,2024-04-01,1.0,1.0,2.0,1.0,1.0,1.0,0,1.0," Air India: A Nightmare of Unresponsive Customer Service. Dealing with Air India has been nothing short of a nightmare. While they did answer my initial calls, their promise of a callback was nothing but empty words, leaving me stranded without assistance. After over ten phone calls and spending more than ten hours on hold, they finally claimed to have found a flight for me and confirmed the booking. However, it turned out to be a lie. They falsely claimed that EL AL had canceled their part of the flight, when in reality, they hadn't. This deceitful behavior only added to the frustration of the situation. Their failure to provide an alternative flight after canceling mine, as required by law, further compounded the issue. Despite repeated attempts to seek help, I was met with indifference and a lack of solutions. Air India's customer service is simply unacceptable. Save yourself the hassle and choose an airline that values its customers.",Indigo,2024,4
